,publication_id,publication_kind,publication_date,application_id,application_date,country,inventor_name,inventor_firstname,inventor_country,invention_title,number_of_claims,attorney_name,attorney_firstname,inventor males,inventor females,inventor team size,attorney males,attorney females,attorney team size,Year,WorldWide Applications,Original Names
20590,US10904120,B2,20210126,US16586991,20190929,US,"['Yu Zheng', 'Nan Fang', 'Zhang Ningbo', 'Cheng Xingqing']","['Zheng', 'Fang', 'Ningbo', 'Xingqing']","['CN', 'CN', 'CN', 'CN']","Method, base station, and user equipment for determining channel loss",19,[],[],2,2,4,0,0,0,2022,"['CN108112090B/en', 'CN108123767B/en', 'CN103918340B9/en']","[['余政', '南方', '张宁波', '程型清'], ['余政', '南方', '张宁波', '程型清'], ['余政', '南方', '张宁波', '程型清']]"
20591,US10904121,B2,20210126,US16423191,20190528,CN,['Yu Jian'],['Jian'],['CN'],Data packet transmission method and device,19,[],[],1,0,1,0,0,0,2022,['CN108123775B/en'],[['于健']]
20603,US10904133,B2,20210126,US16203300,20181128,US,"['Xiong Chunshan', 'Liu Jianning']","['Chunshan', 'Jianning']","['CN', 'CN']","Data packet sending method, mobile router, and network device",20,[],[],0,2,2,0,0,0,2022,"['CN105103501B/en', 'CN108055200B/en']","[['熊春山', '刘建宁'], ['熊春山', '刘建宁']]"
20604,US10904134,B2,20210126,US15460198,20170315,US,"['Jiang Jingchun', 'Jiang Caixia', 'Han Donghai']","['Jingchun', 'Caixia', 'Donghai']","['CN', 'CN', 'CN']",Multicast packet handling in logical networks,21,[],[],1,2,3,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20607,US10904137,B2,20210126,US16659103,20191021,US,"['Sait Tamanna Z.', 'Selvaraj Venkatesan', 'Yiu Shoou J.', 'Xia Yi']","['Tamanna Z.', 'Venkatesan', 'Shoou J.', 'Yi']","['US', 'US', 'US', 'CN']",Loop avoidance for event-driven virtual link aggregation,15,"['Sherman Kenneth L.', 'Perumal Hemavathy']","['Kenneth L.', 'Hemavathy']",2,2,4,1,1,2,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20609,US10904139,B2,20210126,US16225385,20181219,CN,"['Peng Xiaopeng', 'Zheng Hewen', 'Pan Haotao', 'Shen Li']","['Xiaopeng', 'Hewen', 'Haotao', 'Li']","['CN', 'CN', 'CN', 'CN']",Data transmission method and apparatus and network element,15,[],[],1,3,4,0,0,0,2022,"['CN107528711B/en', 'CN113852561A/en']","[['彭晓澎', '郑合文', '潘灏涛', '沈利'], ['彭晓澎', '郑合文', '潘灏涛', '沈利']]"
20610,US10904140,B2,20210126,US16928403,20200714,KR,"['Park Seung Yong', 'Kong Seok Hwan', 'Saikia Dipjyoti']","['Seung Yong', 'Seok Hwan', 'Dipjyoti']","['KR', 'KR', 'KR']",Integrated wire and wireless network packet broker and method for GTP correlation assigning method of the same,5,[],[],3,0,3,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20611,US10904141,B2,20210126,US16240398,20190104,US,"['Du Zongpeng', 'Chen Guoyi', 'Dong Jie', 'Wang Xinyuan', 'Gong Jun']","['Zongpeng', 'Guoyi', 'Jie', 'Xinyuan', 'Jun']","['CN', 'CN', 'CN', 'CN', 'CN']",Data sending method and forwarding device,20,[],[],2,3,5,0,0,0,2022,"['CN111884899A/en', 'CN111884900A/en', 'CN109417533B/en']","[['杜宗鹏', '陈国义', '董杰', '王心远', '龚钧'], ['杜宗鹏', '陈国义', '董杰', '王心远', '龚钧'], ['杜宗鹏', '陈国义', '董杰', '王心远', '龚钧']]"
20613,US10904143,B2,20210126,US16420808,20190523,US,"['Chu Xiaolu', 'Zhang Jinren', 'Zhuang Jie', 'Zhan Tao']","['Xiaolu', 'Jinren', 'Jie', 'Tao']","['CN', 'CN', 'CN', 'CN']",User experience oriented path selection,20,[],[],1,3,4,0,0,0,2022,['CN113615136A/en'],"[['褚晓璐', '张金壬', '庄杰', '詹涛']]"
20623,USD0908323,S1,20210126,US29707659,20190930,CN,"['Hua Jie', 'Hua Shimin']","['Jie', 'Shimin']","['CN', 'CN']",Snow boot,1,[],[],1,1,2,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20625,US10904156,B2,20210126,US16666451,20191029,IN,"['Gore Ashutosh Deepak', 'Jos Sujit', 'Nair Jinesh P.', 'Park Chang Soon', 'Bynam Kiran', 'Hong Young Jun']","['Ashutosh Deepak', 'Sujit', 'Jinesh P.', 'Chang Soon', 'Kiran', 'Young Jun']","['IN', 'IN', 'IN', 'KR', 'IN', 'KR']",Method and apparatus for detecting packet,12,[],[],6,0,6,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20631,US10904162,B2,20210126,US16707015,20191209,KR,['Chung Byung Chang'],['Byung Chang'],['KR'],System and method for selecting optimal path in multi-media multi-path network,9,[],[],1,0,1,0,0,0,2022,['KR20200074431A/en'],[['정병창']]
20653,US10904184,B2,20210126,US16654304,20191016,US,"['Fang Yu', 'Liu Guan Jun', 'Ning Jiang Bin', 'Zhou Bei Chun']","['Yu', 'Guan Jun', 'Jiang Bin', 'Bei Chun']","['CN', 'CN', 'CN', 'CN']",Smart message delivery based on transaction processing status,15,['Bunker Robert C.'],['Robert C.'],3,1,4,1,0,1,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20658,US10904189,B2,20210126,US15510677,20150112,KR,['Kim Jaewoon'],['Jaewoon'],['KR'],Terminal and method for displaying previous conversation information while displaying message of current conversation at the terminal,22,[],[],0,1,1,0,0,0,2022,['KR101641424B1/en'],[['김재운']]
20667,US10904198,B2,20210126,US16511675,20190715,CN,"['Lin Feng', 'Wang Wentao', 'Zhang Zhongbao']","['Feng', 'Wentao', 'Zhongbao']","['CN', 'CN', 'CN']","Information sending method, information display method, terminal, server, system, and storage medium",20,[],[],2,1,3,0,0,0,2022,['CN108809799B/en'],"[['林锋', '王文涛', '张中宝']]"
20675,US10904206,B2,20210126,US16526477,20190730,US,"['Rong Liang', 'Tang Gang', 'Tao Zi J.', 'Xian Ming S.']","['Liang', 'Gang', 'Zi J.', 'Ming S.']","['CN', 'CN', 'CN', 'CN']",Multi-tenant aware dynamic host configuration protocol (DHCP) mechanism for cloud networking,20,"['Carusillo Stephanie', 'Calderon Andrew M.']","['Stephanie', 'Andrew M.']",4,0,4,1,1,2,2022,['CN107615716B/en'],"[['荣亮', '唐刚', '陶孜谨', '鲜明双']]"
20711,US10904241,B2,20210126,US16723015,20191220,US,['Wei Yawen'],['Yawen'],['CN'],Digital certificate management,14,[],[],0,1,1,0,0,0,2022,['CN107786344B/en'],[['魏亚文']]
20716,US10904247,B2,20210126,US15455471,20170310,KR,['Won Jong-se'],['Jong-se'],['KR'],"Server for authentication based on context information of particular location, control method thereof and electronic apparatus",5,[],[],1,0,1,0,0,0,2022,['KR20170105751A/en'],[['원종세']]
20720,US10904251,B2,20210126,US16870507,20200508,CN,['Li Zhiguo'],['Zhiguo'],['CN'],"Blockchain-based copyright protection method and apparatus, and electronic device",20,[],[],1,0,1,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20721,US10904252,B1,20210126,US16911262,20200624,KR,['Jeon Seung Ju'],['Seung Ju'],['KR'],Multi-node authentication method and apparatus based on block chain,16,[],[],1,0,1,0,0,0,2022,"['KR102094705B1/en', 'CN113141340A/en']","[['전승주'], ['全胜主']]"
20724,US10904255,B2,20210126,US16837513,20200401,KR,"['Lee Okseon', 'Park Yongseok', 'Lee Jinho', 'Hong Youngki']","['Okseon', 'Yongseok', 'Jinho', 'Youngki']","['KR', 'KR', 'KR', 'KR']",Method for controlling contents and electronic device thereof,19,[],[],1,3,4,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20732,US10904263,B2,20210126,US16469269,20181103,SE,"['Zu Shaode', 'Shen Xianwei Willam']","['Shaode', 'Xianwei Willam']","['CN', 'SE']",System and method for verification of reliability and validity of crowd sourcing users,18,['Schmid Klaus Michael'],['Klaus Michael'],1,1,2,1,0,1,2022,['CN108596663A/en'],"[['祖绍德', '威廉姆']]"
20740,USD0908459,S1,20210126,US29683311,20190312,US,"['Jung Dae-Woo', 'Ha Jeong-Hoon']","['Dae-Woo', 'Jeong-Hoon']","['KR', 'KR']",Digital door lock,1,"['Lee Sang Ho', 'Shin Hyun Woo']","['Sang Ho', 'Hyun Woo']",2,0,2,2,0,2,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20770,US10904300,B2,20210126,US16471818,20171220,CN,['Xiao Yu'],['Yu'],['CN'],Method and device for managing user information,20,[],[],1,0,1,0,0,0,2022,['CN108234184B/en'],[['肖钰']]
20772,US10904301,B2,20210126,US16133984,20180918,KR,"['Yoon Hee-Tae', 'Im Do-Hyung', 'Kang Jun-Ho', 'Chang Seong-Joong']","['Hee-Tae', 'Do-Hyung', 'Jun-Ho', 'Seong-Joong']","['KR', 'KR', 'KR', 'KR']",Conference system and method for handling conference connection thereof,18,[],[],4,0,4,0,0,0,2022,['KR102341022B1/en'],"[['윤희태', '임도형', '강준호', '창성중']]"
20775,US10904304,B2,20210126,US16505144,20190708,KR,"['Bae Tae-Meon', 'Na Hyun-Sik', 'Yun Hong-Seo', 'Yang Jung-Keun', 'Lee Dong-Su']","['Tae-Meon', 'Hyun-Sik', 'Hong-Seo', 'Jung-Keun', 'Dong-Su']","['KR', 'KR', 'KR', 'KR', 'KR']","Cloud streaming service system, data compressing method for preventing memory bottlenecking, and device for same",15,[],[],3,2,5,0,0,0,2022,"['CN106797487B/en', 'CN112929234A/en']","[['裵泰眠', '罗显植', '尹泓瑞', '梁重根', '李栋守'], ['裵泰眠', '罗显植', '尹泓瑞', '梁重根', '李栋守']]"
20781,US10904310,B2,20210126,US15621819,20170613,KR,"['Han Eui-Bum', 'Bonde Casper', 'Ryu Kyu-Sang', 'Abildgren Rasmus', 'Yoo Hyung-Seoung', 'Eriksen Allan Holst', 'Lee Mee-Kyeong']","['Eui-Bum', 'Casper', 'Kyu-Sang', 'Rasmus', 'Hyung-Seoung', 'Allan Holst', 'Mee-Kyeong']","['KR', 'DK', 'KR', 'DK', 'KR', 'DK', 'KR']",Method and apparatus for communicating streaming data in bluetooth-based wireless communication system,16,[],[],6,1,7,0,0,0,2022,['KR20170142511A/en'],"[['한의범', '캐스퍼 본드', '유규상', '하스무스 에빌트그렌', '유형승', '알란 홀스트 에릭슨', '이미경']]"
20787,US10904316,B2,20210126,US16416759,20190520,CN,['Zhang Xikui'],['Xikui'],['CN'],"Data processing method and apparatus in service-oriented architecture system, and the service-oriented architecture system",20,[],[],0,1,1,0,0,0,2022,['CN105491078B/en'],[['张希魁']]
20789,US10904318,B2,20210126,US16087118,20170327,WO,"['He Bin', 'Jia Minghui', 'Zhou Xuebing', 'Xi Junfeng', 'Wang Huaizhi']","['Bin', 'Minghui', 'Xuebing', 'Junfeng', 'Huaizhi']","['CN', 'CN', 'CN', 'CN', 'CN']",Imaging system and a communication platform for communication among a plurality of nodes of the imaging system,14,['Liberchuk Larry'],['Larry'],3,2,5,1,0,1,2022,['CN108885900A/en'],"[['贺彬', '贾明辉', '周雪冰', '奚俊峰', '王怀志']]"
20798,US10904327,B2,20210126,US16394526,20190425,CN,"['Wu Pengfei', 'Ying Zhi', 'Wang Kun', 'Zhang Ming']","['Pengfei', 'Zhi', 'Kun', 'Ming']","['CN', 'CN', 'CN', 'CN']","Method, electronic device and computer program product for searching for node",20,[],[],4,0,4,0,0,0,2022,['CN110611688B/en'],"[['吴鹏飞', '应治', '王鲲', '张鸣']]"
20818,US10904346,B2,20210126,US16207462,20181203,US,"['Fu Yan Bin', 'Wang Wen', 'Liu Shuang Yin', 'Wu Yi', 'Gao Qing Jun']","['Yan Bin', 'Wen', 'Shuang Yin', 'Yi', 'Qing Jun']","['CN', 'CN', 'CN', 'CN', 'CN']",Weighted digital image object tagging,20,"[""O'Keefe Michael"", 'Hulihan Matthew M.']","['Michael', 'Matthew M.']",4,1,5,2,0,2,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20833,US10904361,B2,20210126,US15261424,20160909,CN,['Hu Hailiang'],['Hailiang'],['CN'],"Method, apparatus, and system for implementing JAVA application installation by means of cloud compilation",15,[],[],0,1,1,0,0,0,2022,['CN105100191B/en'],[['胡海亮']]
20841,US10904368,B2,20210126,US16420959,20190523,IN,"['Pothula Dharmanandana Reddy', 'Padamati Chandra Mohan', 'Paul Antony', 'Qin Yun', 'Sheng De']","['Dharmanandana Reddy', 'Chandra Mohan', 'Antony', 'Yun', 'De']","['IN', 'IN', 'IN', 'CN', 'CN']","System, method and devices for MKA negotiation between the devices",20,[],[],4,1,5,0,0,0,2022,"['CN112910637B/en', 'CN110024325B/en']","[['德哈玛南德纳·雷迪·波沙拉', '詹德拉·莫翰·帕达马蒂', '安东尼·保罗', '秦韵', '盛德'], ['德哈玛南德纳·雷迪·波沙拉', '詹德拉·莫翰·帕达马蒂', '安东尼·保罗', '秦韵', '盛德']]"
20842,US10904369,B2,20210126,US16316242,20160708,US,"['Ma Dong', 'Guo Wenping', 'Guo Jinhai', 'Zhao Kuibing']","['Dong', 'Wenping', 'Jinhai', 'Kuibing']","['CN', 'CN', 'CN', 'CN']",Battery cover and electronic device,20,[],[],1,3,4,0,0,0,2022,['CN107852432A/en'],"[['马冬', '郭文平', '郭金海', '赵奎兵']]"
20844,US10904371,B1,20210126,US16938893,20200724,US,"['Song Insu', 'Kim Jaewook', 'Lee Seongcheol', 'Kim Minsoo']","['Insu', 'Jaewook', 'Seongcheol', 'Minsoo']","['KR', 'KR', 'KR', 'KR']",Mobile terminal,20,[],[],1,3,4,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20875,US10904401,B2,20210126,US16564935,20190909,KR,['Cho Chang Woo'],['Chang Woo'],['KR'],"Self driving multifunction copier, server for controlling self driving multifunction copier and method for operating server",18,[],[],1,0,1,0,0,0,2022,['KR20190096858A/en'],[['조창우']]
20882,US10904408,B2,20210126,US16415912,20190517,CN,['Luo Binji'],['Binji'],['CN'],"Picture file processing method, device, and computer storage medium",20,[],[],0,1,1,0,0,0,2022,"['CN108696761B/en', 'CN106899861B/en']","[['罗斌姬'], ['罗斌姬']]"
20887,US10904413,B2,20210126,US16709854,20191210,KR,['Ko Dongseuck'],['Dongseuck'],['KR'],Camera module and mobile terminal having the same,18,[],[],0,1,1,0,0,0,2022,['KR20190072837A/en'],[['고동석']]
20894,USD0908324,S1,20210126,US29690880,20190513,KR,['Kim Bum Suk'],['Bum Suk'],['KR'],Cover for shoe protection,1,[],[],1,0,1,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20899,US10904423,B2,20210126,US16298251,20190311,KR,"['Cha Il Hwang', 'Cho Sung Bong']","['Il Hwang', 'Sung Bong']","['KR', 'KR']",Image providing apparatus and method,17,[],[],2,0,2,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20906,US10904430,B2,20210126,US16388292,20190418,CN,['Liu Yang'],['Yang'],['CN'],"Method for processing image, image processing apparatus, multi-camera photographing apparatus, and aerial vehicle",19,[],[],1,0,1,0,0,0,2022,['CN106506941A/en'],[['刘洋']]
20912,US10904436,B2,20210126,US16124348,20180907,KR,"['Heo Jae Sung', 'Kim Kyung Ho', 'Lee Won Seok']","['Jae Sung', 'Kyung Ho', 'Won Seok']","['KR', 'KR', 'KR']",Image sensor and electronic device including the image sensor,19,[],[],3,0,3,0,0,0,2022,"['KR20190092757A/en', 'CN110113547A/en']","[['허재성', '김경호', '이원석'], ['许在成', '金敬镐', '李元硕']]"
20914,US10904438,B1,20210126,US16850169,20200416,KR,['Youm Jung Eun'],['Jung Eun'],['KR'],Controller integrated circuit (IC) and actuator of camera module including the same,19,[],[],1,0,1,0,0,0,2022,"['KR20210083788A/en', 'CN113067965A/en']","[['염정은'], ['廉定恩']]"
20920,USD0908465,S1,20210126,US29701382,20190812,US,['Chen Xiaowei'],['Xiaowei'],['CN'],Sunglasses holder for car,1,[],[],1,0,1,0,0,0,2022,['No KR or CN Application Number'],['No KR or CN Application Number']
20922,US10904445,B2,20210126,US16493055,20170627,KR,"['Kim Dae Bong', 'Kwon Young Sang', 'Park Ki Bum']","['Dae Bong', 'Young Sang', 'Ki Bum']","['KR', 'KR', 'KR']",Zoom tracking method and zoom camera,3,['Pahng Jason Y.'],['Jason Y.'],3,0,3,1,0,1,2022,['KR102214094B1/en'],"[['김대봉', '권영상', '박기범']]"
20929,US10904452,B2,20210126,US16229675,20181221,KR,"['Choi Byungpo', 'Yu Insu', 'Park Jongpil', 'Lim Jinho', 'Park Jiyoon']","['Byungpo', 'Insu', 'Jongpil', 'Jinho', 'Jiyoon']","['KR', 'KR', 'KR', 'KR', 'KR']",Method of generating composite image using plurality of images with different exposure values and electronic device supporting the same,19,[],[],2,3,5,0,0,0,2022,['KR102412591B1/en'],"[['최병포', '유인수', '박종필', '임진호', '박지윤']]"
20930,US10904453,B2,20210126,US15843396,20171215,CN,"['Chen Feng', 'Ren Jie', 'Qu Haiming', 'Zhang Qing']","['Feng', 'Jie', 'Haiming', 'Qing']","['CN', 'CN', 'CN', 'CN']",Method and system for synchronizing illumination timing in a multi-sensor imager,16,[],[],4,0,4,0,0,0,2022,['CN108259702B/en'],"[['陈锋', '任杰', '屈海明', '张晴']]"
20932,US10904455,B2,20210126,US16703131,20191204,KR,['Park Sang Ok'],['Sang Ok'],['KR'],Lens moving apparatus and camera module and portable terminal including the same,20,[],[],1,0,1,0,0,0,2022,"['CN112630925A/en', 'CN106067939B/en', 'CN112887525B/en']","[['朴相沃'], ['朴相沃'], ['朴相沃']]"
20944,US10904466,B2,20210126,US16038806,20180718,KR,['Lee Hyeok-Jong'],['Hyeok-Jong'],['KR'],Digital correlated double sampling circuits and image sensors including the same,20,[],[],0,1,1,0,0,0,2022,"['KR102359298B1/en', 'CN109561265B/en']","[['이혁종'], ['李赫钟']]"
20948,US10904470,B2,20210126,US16189832,20181113,KR,['Kim Tae-Gyu'],['Tae-Gyu'],['KR'],Ramp signal generation device and CMOS image sensor including the same,19,[],[],1,0,1,0,0,0,2022,"['KR20190107855A/en', 'CN110278395B/en']","[['김태규'], ['金泰逵']]"
20960,US10904482,B2,20210126,US17007664,20200831,CN,['Wang Zi'],['Zi'],['CN'],"Method and apparatus for generating video file, and storage medium",18,[],[],1,0,1,0,0,0,2022,['CN108924464B/en'],[['王梓']]
20983,US10904504,B2,20210126,US16526288,20190730,KR,"['Kim Bongjoe', 'Kim Jongho', 'Eom Gimun']","['Bongjoe', 'Jongho', 'Gimun']","['KR', 'KR', 'KR']",Electronic apparatus and control method thereof,20,[],[],0,3,3,0,0,0,2022,['Patent not found'],['Patent not found']
20996,US10904517,B2,20210126,US15785287,20171016,KR,"['Lee Hyun Koo', 'Kim Soo Young', 'Lee Min Tak', 'Kim Kyu Seok', 'Yun Young Nam', 'Pyo Si Beak']","['Hyun Koo', 'Soo Young', 'Min Tak', 'Kyu Seok', 'Young Nam', 'Si Beak']","['KR', 'KR', 'KR', 'KR', 'KR', 'KR']","Display panel, head mounted display device including the same, and method of displaying image by using head mounted display device",15,[],[],5,1,6,0,0,0,2022,['KR20180042880A/en'],"[['이현구', '김수영', '이민탁', '김규석', '윤영남', '표시백']]"
20999,US10904520,B2,20210126,US15301845,20150402,CN,"['Chen Jie', 'Lee Sunil']","['Jie', 'Sunil']","['CN', 'KR']","Method and device for indicating pixel, and method and device for processing pixel indication",2,[],[],2,0,2,0,0,0,2022,"['CN104980747B/en', 'CN110267039A/en', 'CN110177283B/en', 'KR101731426B1/en', 'KR102135964B1/en']","[['陈杰', '李善一'], ['陈杰', '李善一'], ['陈杰', '李善一'], ['천지에', '이선일'], ['천지에', '이선일']]"
21001,US10904522,B2,20210126,US16476847,20180109,KR,"['Lim Jeong-yeon', 'Lee Sun-young', 'Son Se-hoon', 'Shin Jae-seob']","['Jeong-yeon', 'Sun-young', 'Se-hoon', 'Jae-seob']","['KR', 'KR', 'KR', 'KR']",Apparatus and method for video encoding or decoding using intra-predicting diagonal edges,7,[],[],4,0,4,0,0,0,2022,"['KR20180082337A/en', 'CN110169060A/en']","[['임정연', '이선영', '손세훈', '신재섭'], ['林晶娟', '李善英', '孙世勋', '申在燮']]"
21002,US10904523,B2,20210126,US16322694,20160708,CN,"['Li Ming', 'Wu Ping', 'Shang Guoqiang', 'Wu Zhao']","['Ming', 'Ping', 'Guoqiang', 'Zhao']","['CN', 'CN', 'CN', 'CN']","Encoding processing method and device, decoding processing method and device, encoder, and decoder",18,[],[],4,0,4,0,0,0,2022,['CN106604028A/en'],"[['李明', '吴平', '尚国强', '吴钊']]"
21004,US10904525,B2,20210126,US16378492,20190408,KR,"['Ryu Ho Chan', 'Ahn Yong Jo']","['Ho Chan', 'Yong Jo']","['KR', 'KR']",Video coding method and apparatus utilizing combination of diverse block partitioning structures,2,[],[],2,0,2,0,0,0,2022,"['KR20180039323A/en', 'CN109804629A/en']","[['안용조', '류호찬'], ['柳浩赞', '安镕照']]"
21005,US10904526,B2,20210126,US16090004,20170328,KR,['Lee Bae Keun'],['Bae Keun'],['KR'],Method and apparatus for processing video signal,8,[],[],0,1,1,0,0,0,2022,"['KR102365964B1/en', 'CN108886613B/en', 'CN114598865A/en', 'KR20220025289A/en']","[['이배근'], ['李培根'], ['李培根'], ['이배근']]"
21015,US10904536,B2,20210126,US16196708,20181120,CN,"['Li Muhuo', 'Wang Jin']","['Muhuo', 'Jin']","['CN', 'CN']",Frame processing method and device,20,[],[],1,1,2,0,0,0,2022,['CN109819178B/en'],"[['李木火', '王进']]"
21016,US10904537,B2,20210126,US16339574,20161010,US,"['Min Jung-hye', 'Park Min-woo', 'Jin Bo-ra', 'Kim Chan-yul']","['Jung-hye', 'Min-woo', 'Bo-ra', 'Chan-yul']","['KR', 'KR', 'KR', 'KR']",Method and apparatus for encoding/decoding image,2,[],[],3,1,4,0,0,0,2022,"['CN110063058A/en', 'KR102315926B1/en', 'KR102367136B1/en', 'KR20220028164A/en']","[['闵正惠', '朴愍祐', '陈宝罗', '金讚烈'], ['민정혜', '박민우', '진보라', '김찬열'], ['민정혜', '박민우', '진보라', '김찬열'], ['민정혜', '박민우', '진보라', '김찬열']]"
21017,US10904539,B2,20210126,US15026154,20140930,KR,"['Choe Yoon Sik', 'Choi Jang Won']","['Yoon Sik', 'Jang Won']","['KR', 'KR']","Method, device and system for encoding and decoding image",5,[],[],2,0,2,0,0,0,2022,['KR101530774B1/en'],"[['최윤식', '최장원']]"
21020,US10904542,B2,20210126,US16504764,20190708,CN,"['Huang Xiaozheng', 'Wang Shitao', 'Luo Binji', 'Liu Haijun', 'Ding Piao', 'Chen Xinxing']","['Xiaozheng', 'Shitao', 'Binji', 'Haijun', 'Piao', 'Xinxing']","['CN', 'CN', 'CN', 'CN', 'CN', 'CN']",Image transcoding method and apparatus,18,[],[],2,4,6,0,0,0,2022,['CN108805943A/en'],"[['黄晓政', '王诗涛', '罗斌姬', '刘海军', '丁飘', '陈新星']]"
21040,US10904561,B2,20210126,US16836248,20200331,US,"['Lee Jaeho', 'Nam Junghak', 'Park Naeri', 'Jang Hyeongmoon']","['Jaeho', 'Junghak', 'Naeri', 'Hyeongmoon']","['KR', 'KR', 'KR', 'KR']",Image decoding method and apparatus based on motion prediction in sub-block unit in image coding system,12,[],[],1,3,4,0,0,0,2022,"['KR20220025164A/en', 'KR102362840B1/en', 'CN111247805A/en']","[['이재호', '남정학', '박내리', '장형문'], ['이재호', '남정학', '박내리', '장형문'], ['李在镐', '南廷学', '朴婡利', '张炯文']]"
21041,US10904562,B2,20210126,US16415891,20190517,US,['Wu Yannan'],['Yannan'],['CN'],System and method for constructing optical flow fields,20,[],[],0,1,1,0,0,0,2022,['CN107924567A/en'],[['武燕楠']]
21046,US10904567,B2,20210126,US16475002,20161228,US,"['Kang Je-Won', 'Ryu Soo Kyung', 'Lim Jaehyun', 'Yoo Sunmi', 'Lee Jaeho', 'Kang Min-Joo']","['Je-Won', 'Soo Kyung', 'Jaehyun', 'Sunmi', 'Jaeho', 'Min-Joo']","['KR', 'KR', 'KR', 'KR', 'KR', 'KR']","Intra prediction mode-based image processing method, and apparatus therefor",9,[],[],3,3,6,0,0,0,2022,"['KR102398612B1/en', 'KR20220065101A/en', 'CN110366850A/en']","[['강제원', '류수경', '임재현', '유선미', '이재호', '강민주'], ['강제원', '류수경', '임재현', '유선미', '이재호', '강민주'], ['姜制远', '柳守颖', '林宰显', '柳先美', '李在镐', '姜珉珠']]"
21047,US10904568,B2,20210126,US16486636,20180308,KR,['Lee Bae Keun'],['Bae Keun'],['KR'],Video signal processing method and device for intra prediction of coding or prediction blocks based on sample position based parameters,5,[],[],0,1,1,0,0,0,2022,['KR20180103732A/en'],[['이배근']]
21049,US10904569,B2,20210126,US16546786,20190821,KR,"['Lee Jin Ho', 'Kim Hui Yong', 'Lim Sung Chang', 'Choi Jin Soo', 'Kim Jin Woong']","['Jin Ho', 'Hui Yong', 'Sung Chang', 'Jin Soo', 'Jin Woong']","['KR', 'KR', 'KR', 'KR', 'KR']",Image encoding/decoding method using prediction block and apparatus for same,6,[],[],4,1,5,0,0,0,2022,"['KR20120140181A/en', 'KR20120140182A/en', 'CN103796029B/en', 'KR101357640B1/en', 'CN103796030B/en', 'CN103404151B/en', 'CN103780911B/en', 'KR101357641B1/en', 'KR101451924B1/en', 'KR101451923B1/en', 'KR101451921B1/en', 'KR101488497B1/en', 'KR101451920B1/en', 'KR101451919B1/en', 'KR101451922B1/en', 'KR101451918B1/en']","[['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['李镇浩', '金晖容', '林成昶', '崔振秀', '金镇雄'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['李镇浩', '金晖容', '林成昶', '崔振秀', '金镇雄'], ['李镇浩', '金晖容', '林成昶', '崔振秀', '金镇雄'], ['李镇浩', '金晖容', '林成昶', '崔振秀', '金镇雄'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['이진호', '김휘용', '임성창', '최진수', '김진웅'], ['이진호', '김휘용', '임성창', '최진수', '김진웅']]"
21050,US10904570,B2,20210126,US16331819,20170704,KR,"['Lim Jeong Yun', 'Lim Hoa Sub']","['Jeong Yun', 'Hoa Sub']","['KR', 'KR']",Method for encoding/decoding synchronized multi-view video by using spatial layout information and apparatus of the same,17,['Lee Sang Ho'],['Sang Ho'],1,1,2,1,0,1,2022,['CN109691110A/en'],"[['林柾润', '林和燮']]"
21053,US10904572,B2,20210126,US15950838,20180411,US,"['Zhang Wenhao', 'Chiu Yi-Jen', 'Kapsenberg Pieter', 'Xu Lidong', 'Han Yu', 'Deng Zhipin Apple', 'Cai Xiaoxia']","['Wenhao', 'Yi-Jen', 'Pieter', 'Lidong', 'Yu', 'Zhipin Apple', 'Xiaoxia']","['CN', 'US', 'US', 'CN', 'CN', 'CN', 'CN']",Size based transform unit context derivation,9,[],[],5,2,7,0,0,0,2022,['KR20150024398A/en'],"[['웬하오 장', '이-젠 치우', '피에터 카프센버그', '리동 수', '유 한', '지핀 뎅', '시아오시즈 카이']]"
21062,US10904581,B2,20210126,US16347852,20171108,KR,['Lee Bae Keun'],['Bae Keun'],['KR'],Method and apparatus for processing video signal,7,[],[],0,1,1,0,0,0,2022,"['CN109923866A/en', 'KR20180051424A/en']","[['李培根'], ['이배근']]"
